type,release_year,rating,listed_in,content_age,added_year,added_month,movie_duration_minutes,season_count,genre_count,cast_count,primary_country
Movie,2021,TV-PG,Children & Family Movies,5,2021,9,103.0,,1,3,Unknown
TV Show,2021,TV-Y,Kids' TV,5,2021,9,,6.0,1,4,United Kingdom
TV Show,2014,TV-G,"Docuseries, International TV Shows",12,2021,9,,1.0,2,1,India
TV Show,1994,TV-PG,"Kids' TV, TV Comedies",32,2021,9,,9.0,2,7,United States
Movie,2021,TV-14,"Documentaries, International Movies, Sports Movies",5,2021,9,113.0,,3,1,Unknown
TV Show,2015,TV-PG,"International TV Shows, TV Dramas",11,2021,9,,1.0,2,1,India
TV Show,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",5,2021,9,,1.0,3,1,Unknown
Movie,2021,TV-Y,Children & Family Movies,5,2021,9,13.0,,1,9,Unknown
TV Show,2021,TV-MA,"British TV Shows, Docuseries, International TV Shows",5,2021,9,,5.0,3,2,United Kingdom
Movie,2018,TV-MA,"Dramas, International Movies",8,2021,9,182.0,,2,8,Nigeria
TV Show,2021,TV-PG,Reality TV,5,2021,9,,2.0,1,1,Unknown
Movie,2021,TV-G,Children & Family Movies,5,2021,9,106.0,,1,2,Unknown
TV Show,2013,TV-14,"Anime Series, International TV Shows",13,2021,9,,1.0,2,27,Japan
Movie,2021,TV-Y7,"Children & Family Movies, Comedies",5,2021,9,48.0,,2,8,Unknown
Movie,2020,TV-14,"Comedies, Dramas, International Movies",6,2021,9,145.0,,3,3,Unknown
Movie,2021,TV-14,"Comedies, Dramas, International Movies",5,2021,9,145.0,,3,3,Unknown
Movie,2021,TV-Y7,Children & Family Movies,5,2021,9,93.0,,1,7,Unknown
Movie,2021,R,Action & Adventure,5,2021,9,106.0,,1,7,United States
TV Show,2021,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",5,2021,9,,6.0,3,13,United States
TV Show,2021,TV-MA,Reality TV,5,2021,9,,1.0,1,1,Unknown
Movie,2020,TV-MA,"Action & Adventure, Comedies, Dramas",6,2021,9,147.0,,3,10,Nigeria
TV Show,2021,TV-Y7,"Anime Series, Kids' TV",5,2021,9,,1.0,2,10,Unknown
Movie,2021,TV-MA,"International Movies, Thrillers",5,2021,9,87.0,,2,8,Unknown
TV Show,2019,TV-Y,"Kids' TV, Korean TV Shows",7,2021,9,,2.0,2,5,Unknown
Movie,2021,PG-13,"Documentaries, Sports Movies",5,2021,9,96.0,,2,2,Unknown
TV Show,2017,TV-Y7,Kids' TV,9,2021,9,,4.0,1,7,Unknown
Movie,2019,TV-MA,"Sci-Fi & Fantasy, Thrillers",7,2021,9,95.0,,2,8,Spain
Movie,2021,TV-14,"Documentaries, International Movies",5,2021,9,92.0,,2,1,France
TV Show,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",5,2021,9,,2.0,3,11,Belgium
Movie,2021,TV-MA,"Dramas, International Movies, Romantic Movies",5,2021,9,91.0,,3,10,Unknown
Movie,2018,PG,"Children & Family Movies, Comedies",8,2021,9,90.0,,2,12,United Kingdom
TV Show,2021,TV-MA,Reality TV,5,2021,9,,3.0,1,1,United States
Movie,2018,TV-MA,"Documentaries, Music & Musicals",8,2021,9,97.0,,2,10,United States
TV Show,2021,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",5,2021,9,,2.0,3,7,United States
TV Show,2021,TV-Y,"British TV Shows, Kids' TV",5,2021,9,,1.0,2,13,United Kingdom
TV Show,2021,TV-MA,"TV Comedies, TV Dramas",5,2021,9,,1.0,2,8,France
TV Show,2019,TV-Y7,Kids' TV,7,2021,9,,2.0,1,9,Unknown
Movie,2021,TV-MA,"Documentaries, Sports Movies",5,2021,9,80.0,,2,1,United States
TV Show,2021,TV-14,"Docuseries, Science & Nature TV",5,2021,9,,1.0,2,1,Unknown
Movie,2020,TV-MA,"Dramas, International Movies, Thrillers",6,2021,9,117.0,,3,14,Unknown
TV Show,2016,TV-Y,"Kids' TV, Korean TV Shows",10,2021,9,,2.0,2,2,South Korea
Movie,2017,TV-14,"Action & Adventure, Comedies, Dramas",9,2021,9,128.0,,3,11,India
TV Show,2021,TV-G,"Kids' TV, TV Comedies",5,2021,9,,5.0,2,7,United States
Movie,2018,G,"Children & Family Movies, Dramas",8,2021,9,90.0,,2,6,United States
TV Show,2021,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",5,2021,9,,1.0,3,8,Australia
TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5,2021,9,,5.0,3,13,Spain
TV Show,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",5,2021,9,,1.0,3,1,Unknown
TV Show,2021,TV-Y,Kids' TV,5,2021,9,,1.0,1,7,United States
Movie,2021,PG-13,Dramas,5,2021,9,119.0,,1,8,Unknown
Movie,2021,TV-PG,"Comedies, Romantic Movies",5,2021,9,110.0,,2,8,Unknown
Movie,1994,TV-14,"Dramas, International Movies, Thrillers",32,2021,9,143.0,,3,9,India
Movie,2009,PG,"Dramas, Romantic Movies",17,2021,9,119.0,,2,10,United Kingdom
Movie,2015,TV-PG,"Comedies, Dramas, Independent Movies",11,2021,9,114.0,,3,8,India
Movie,2021,PG-13,Documentaries,5,2021,9,94.0,,1,1,United Kingdom
Movie,2017,TV-14,"Dramas, International Movies, Thrillers",9,2021,9,106.0,,3,6,India
Movie,2020,TV-MA,"Dramas, International Movies, Romantic Movies",6,2021,9,99.0,,3,5,Unknown
TV Show,2021,TV-Y7,"Kids' TV, TV Comedies",5,2021,9,,1.0,2,4,Australia
TV Show,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",7,2021,9,,1.0,3,13,Unknown
Movie,2003,R,Thrillers,23,2021,9,118.0,,1,8,United Kingdom
TV Show,2012,TV-Y7,Kids' TV,14,2021,9,,1.0,1,1,Unknown
TV Show,2013,TV-Y7,"Kids' TV, Korean TV Shows",13,2021,9,,3.0,2,1,South Korea
TV Show,2021,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",5,2021,9,,1.0,3,7,United States
Movie,2020,TV-14,"Dramas, International Movies, Romantic Movies",6,2021,9,115.0,,3,8,India
Movie,2004,PG,"Children & Family Movies, Comedies",22,2021,9,95.0,,2,15,United States
Movie,2017,PG-13,"Dramas, International Movies, Thrillers",9,2021,9,115.0,,3,10,Unknown
Movie,2005,PG-13,Dramas,21,2021,9,108.0,,1,10,Germany
Movie,2021,TV-Y,"Children & Family Movies, Music & Musicals",5,2021,9,63.0,,2,5,Unknown
Movie,1982,R,"Action & Adventure, Classic Movies, Cult Movies",44,2021,9,117.0,,3,12,United States
TV Show,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",5,2021,9,,1.0,3,15,Unknown
Movie,2015,R,"Action & Adventure, Sci-Fi & Fantasy",11,2021,9,121.0,,2,10,South Africa
Movie,1994,PG-13,"Action & Adventure, Dramas",32,2021,9,142.0,,2,13,United States
Movie,1993,R,Action & Adventure,33,2021,9,113.0,,1,11,United States
Movie,2003,R,"Dramas, Romantic Movies",23,2021,9,154.0,,2,10,United States
Movie,2001,PG,"Action & Adventure, Comedies",25,2021,9,95.0,,2,14,Australia
Movie,2010,PG-13,"Dramas, Romantic Movies",16,2021,9,108.0,,2,10,United States
Movie,1989,R,"Classic Movies, Comedies, Dramas",37,2021,9,120.0,,3,14,United States
Movie,2014,TV-MA,"Dramas, International Movies, Thrillers",12,2021,9,100.0,,3,7,Argentina
Movie,2015,R,Action & Adventure,11,2021,9,82.0,,1,8,United States
Movie,2007,PG-13,Dramas,19,2021,9,124.0,,1,12,Germany
Movie,2011,PG-13,"Action & Adventure, Sci-Fi & Fantasy",15,2021,9,114.0,,2,8,United States
Movie,1990,R,"Comedies, Cult Movies",36,2021,9,104.0,,2,13,United States
Movie,1991,R,"Comedies, Cult Movies, Music & Musicals",35,2021,9,94.0,,3,10,United States
Movie,1994,R,"Comedies, Music & Musicals",32,2021,9,94.0,,2,10,United States
TV Show,2021,TV-PG,Reality TV,5,2021,9,,1.0,1,1,Unknown
TV Show,2020,TV-14,TV Shows,6,2021,9,,1.0,1,8,Unknown
Movie,1998,R,"Action & Adventure, Comedies",28,2021,9,93.0,,2,12,United States
Movie,1999,R,Thrillers,27,2021,9,97.0,,1,17,United States
Movie,2005,TV-14,"Action & Adventure, International Movies",21,2021,9,109.0,,2,8,China
Movie,2016,TV-MA,Comedies,10,2021,9,88.0,,1,5,United States
TV Show,2016,TV-Y,Kids' TV,10,2021,9,,2.0,1,5,Russia
TV Show,2015,TV-MA,"Anime Series, International TV Shows, Teen TV Shows",11,2021,9,,3.0,3,18,Japan
Movie,1986,PG,"Action & Adventure, Children & Family Movies, Cult Movies",40,2021,9,101.0,,3,10,United Kingdom
Movie,2010,PG,"Comedies, Dramas, Romantic Movies",16,2021,9,105.0,,3,13,United States
Movie,2018,TV-14,"Sci-Fi & Fantasy, Thrillers",8,2021,9,102.0,,2,8,Canada
Movie,2003,PG-13,"Comedies, Romantic Movies",23,2021,9,101.0,,2,10,United States
Movie,2010,TV-MA,"Comedies, Dramas, International Movies",16,2021,9,103.0,,3,10,Hong Kong
TV Show,1992,TV-PG,TV Comedies,34,2021,9,,4.0,1,8,United States
Movie,1996,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy",30,2021,9,106.0,,3,12,United States
Movie,2017,PG-13,Dramas,9,2021,9,118.0,,1,10,United States
Movie,2003,R,"Comedies, Romantic Movies",23,2021,9,86.0,,2,11,United States
Movie,1999,PG-13,"Action & Adventure, Comedies",27,2021,9,121.0,,2,15,United States
TV Show,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",7,2021,9,,1.0,3,9,Unknown
Movie,1984,R,"Classic Movies, Dramas",42,2021,9,229.0,,2,10,Italy
Movie,2008,PG,"Children & Family Movies, Comedies",18,2021,9,76.0,,2,11,United States
Movie,2001,PG,"Action & Adventure, Children & Family Movies, Comedies",25,2021,9,95.0,,3,8,United States
Movie,2006,PG-13,"Action & Adventure, Dramas",20,2021,9,98.0,,2,9,United States
Movie,1997,R,"Documentaries, Music & Musicals",29,2021,9,89.0,,2,36,United States
Movie,2017,PG-13,"Dramas, Faith & Spirituality",9,2021,9,120.0,,2,5,United States
Movie,2003,PG-13,"Comedies, Music & Musicals",23,2021,9,110.0,,2,14,United States
Movie,2015,PG-13,"Documentaries, LGBTQ Movies",11,2021,9,83.0,,2,1,United States
Movie,2003,R,"Action & Adventure, Dramas",23,2021,9,121.0,,2,12,United States
Movie,1980,R,"Dramas, Romantic Movies",46,2021,9,105.0,,2,8,United States
Movie,1986,PG-13,"Action & Adventure, Comedies",40,2021,9,94.0,,2,10,United States
Movie,1961,TV-14,"Action & Adventure, Classic Movies",65,2021,9,156.0,,2,10,United Kingdom
Movie,2014,R,"Action & Adventure, Comedies",12,2021,9,112.0,,2,8,United States
Movie,1996,PG-13,"Comedies, Romantic Movies",30,2021,9,95.0,,2,8,United States
Movie,2000,PG-13,"Comedies, Romantic Movies",26,2021,9,107.0,,2,10,Unknown
TV Show,2021,TV-14,Docuseries,5,2021,9,,1.0,1,1,Unknown
Movie,2008,PG-13,Comedies,18,2021,9,114.0,,1,10,United States
Movie,1993,R,"Action & Adventure, Classic Movies",33,2021,8,129.0,,2,10,United States
TV Show,2021,TV-PG,Reality TV,5,2021,8,,1.0,1,1,United States
Movie,2021,TV-MA,"Documentaries, Sports Movies",5,2021,8,86.0,,2,1,Unknown
TV Show,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",5,2021,8,,1.0,3,10,Unknown
TV Show,2021,TV-G,"International TV Shows, TV Comedies",5,2021,8,,1.0,2,1,Unknown
Movie,2008,TV-MA,"Comedies, International Movies",18,2021,8,97.0,,2,8,France
TV Show,2020,TV-Y,"Kids' TV, TV Comedies",6,2021,8,,2.0,2,7,Unknown
Movie,2021,TV-14,"Dramas, International Movies",5,2021,8,125.0,,2,3,India
Movie,2017,R,"Dramas, Independent Movies",9,2021,8,107.0,,2,15,United Kingdom
Movie,2008,TV-14,"Action & Adventure, Comedies, International Movies",18,2021,8,127.0,,3,7,India
TV Show,2021,TV-MA,"International TV Shows, TV Dramas",5,2021,8,,1.0,2,4,
TV Show,2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",24,2021,8,,1.0,3,10,Unknown
Movie,2008,TV-14,"Comedies, Dramas, International Movies",18,2021,8,128.0,,3,10,India
Movie,2021,TV-14,"Comedies, Romantic Movies",5,2021,8,92.0,,2,10,Unknown
TV Show,2021,TV-Y7,"Kids' TV, TV Comedies",5,2021,8,,1.0,2,13,Unknown
TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",5,2021,8,,1.0,3,16,Nigeria
Movie,2006,TV-14,"Comedies, Dramas, International Movies",20,2021,8,135.0,,3,8,India
Movie,2004,TV-14,"Action & Adventure, Horror Movies, International Movies",22,2021,8,124.0,,3,8,India
Movie,2003,TV-14,"Dramas, International Movies, Thrillers",23,2021,8,136.0,,3,10,India
Movie,2005,TV-MA,"Comedies, International Movies, Music & Musicals",21,2021,8,165.0,,3,6,India
Movie,2016,TV-MA,"Comedies, International Movies",10,2021,8,124.0,,2,10,India
Movie,2012,TV-MA,"Comedies, International Movies",14,2021,8,136.0,,2,9,India
Movie,2001,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",25,2021,8,150.0,,3,8,India
Movie,2010,TV-MA,"Dramas, Independent Movies, International Movies",16,2021,8,112.0,,3,7,India
Movie,2008,TV-14,"Action & Adventure, International Movies, Music & Musicals",18,2021,8,119.0,,3,7,India
Movie,2010,TV-14,"Dramas, International Movies, Music & Musicals",16,2021,8,133.0,,3,8,India
Movie,2013,TV-14,"Dramas, International Movies, Music & Musicals",13,2021,8,142.0,,3,10,India
Movie,2011,TV-MA,"Horror Movies, International Movies",15,2021,8,93.0,,2,7,India
Movie,2014,TV-MA,"Horror Movies, International Movies",12,2021,8,113.0,,2,8,India
TV Show,2016,TV-MA,"International TV Shows, TV Dramas",10,2021,8,,2.0,2,13,Ireland
TV Show,2021,TV-PG,"Docuseries, International TV Shows",5,2021,8,,3.0,2,13,Unknown
Movie,2021,R,"Action & Adventure, International Movies",5,2021,8,124.0,,2,13,Unknown
Movie,2007,TV-MA,"Action & Adventure, Dramas, International Movies",19,2021,8,116.0,,3,12,India
Movie,2011,TV-14,"Comedies, Dramas, Independent Movies",15,2021,8,106.0,,3,10,India
Movie,2011,TV-14,"Comedies, Dramas, International Movies",15,2021,8,145.0,,3,7,India
TV Show,2021,TV-14,"Reality TV, Teen TV Shows",5,2021,8,,1.0,2,1,Unknown
TV Show,2021,TV-14,"Anime Series, International TV Shows",5,2021,8,,1.0,2,9,Japan
TV Show,2021,TV-PG,"Kids' TV, TV Comedies",5,2021,8,,4.0,2,8,United States
Movie,2021,TV-14,Documentaries,5,2021,8,93.0,,1,1,Unknown
TV Show,2021,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",5,2021,8,,1.0,3,15,Unknown
TV Show,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",5,2021,8,,1.0,3,1,Unknown
TV Show,2021,TV-14,"International TV Shows, Reality TV",5,2021,8,,1.0,2,1,Unknown
TV Show,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",5,2021,8,,1.0,3,11,Unknown
TV Show,2021,TV-MA,"International TV Shows, TV Comedies, TV Dramas",5,2021,8,,1.0,3,9,Unknown
Movie,2020,TV-MA,"Dramas, Independent Movies, Romantic Movies",6,2021,8,95.0,,3,4,United States
Movie,2014,R,Action & Adventure,12,2021,8,108.0,,1,10,United States
Movie,2020,TV-MA,Horror Movies,6,2021,8,90.0,,1,4,United States
Movie,2021,TV-MA,"Documentaries, Sports Movies",5,2021,8,86.0,,2,1,Unknown
Movie,2021,PG,"Children & Family Movies, Dramas",5,2021,8,92.0,,2,6,United States
TV Show,2019,TV-G,Reality TV,7,2021,8,,3.0,1,2,United States
Movie,2021,TV-MA,"Documentaries, Music & Musicals",5,2021,8,82.0,,2,1,United Kingdom
TV Show,2021,TV-Y,"Kids' TV, TV Comedies",5,2021,8,,1.0,2,1,Unknown
Movie,2021,TV-PG,"Documentaries, LGBTQ Movies, Sports Movies",5,2021,8,70.0,,3,1,Unknown
Movie,2021,TV-14,"Horror Movies, International Movies, Thrillers",5,2021,8,122.0,,3,6,Unknown
Movie,2021,TV-14,"Horror Movies, International Movies, Thrillers",5,2021,8,122.0,,3,6,Unknown
Movie,2021,TV-14,"Horror Movies, International Movies, Thrillers",5,2021,8,122.0,,3,6,Unknown
Movie,2021,TV-14,"Horror Movies, International Movies, Thrillers",5,2021,8,122.0,,3,6,Unknown
Movie,2021,TV-MA,"Action & Adventure, Anime Features",5,2021,8,84.0,,2,11,Unknown
TV Show,2021,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",5,2021,8,,3.0,3,7,United States
TV Show,2021,TV-MA,"International TV Shows, TV Comedies",5,2021,8,,1.0,2,1,Unknown
TV Show,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",5,2021,8,,1.0,3,5,Unknown
Movie,2018,TV-14,"Dramas, International Movies, Thrillers",8,2021,8,96.0,,3,10,Unknown
TV Show,2021,TV-PG,"Docuseries, International TV Shows",5,2021,8,,1.0,2,1,Unknown
Movie,2021,TV-MA,"Dramas, International Movies, Romantic Movies",5,2021,8,115.0,,3,7,Unknown
Movie,2021,R,"Action & Adventure, Dramas",5,2021,8,110.0,,2,9,United States
TV Show,2021,TV-MA,"TV Comedies, TV Dramas",5,2021,8,,1.0,2,7,Unknown
Movie,2021,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",5,2021,8,88.0,,3,12,Unknown
Movie,2020,TV-PG,"Dramas, International Movies, Romantic Movies",6,2021,8,102.0,,3,8,Unknown
Movie,2011,PG-13,"Dramas, Independent Movies, Romantic Movies",15,2021,8,91.0,,3,10,United States
Movie,2021,TV-MA,"International Movies, Thrillers",5,2021,8,105.0,,2,10,Unknown
Movie,1995,TV-14,"Dramas, International Movies, Romantic Movies",31,2021,8,135.0,,3,4,India
TV Show,2021,TV-Y,Kids' TV,5,2021,8,,5.0,1,11,United States
Movie,2021,TV-MA,"Documentaries, International Movies",5,2021,8,86.0,,2,1,Unknown
Movie,2020,TV-14,"Dramas, International Movies",6,2021,8,140.0,,2,12,Unknown
Movie,2015,TV-14,"Dramas, International Movies, Romantic Movies",11,2021,8,133.0,,3,9,Unknown
Movie,2020,TV-MA,"Comedies, Dramas, International Movies",6,2021,8,92.0,,3,9,Unknown
Movie,2018,TV-PG,"Comedies, Dramas, International Movies",8,2021,8,82.0,,3,8,India
TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",6,2021,8,,1.0,3,11,Unknown
Movie,2021,TV-14,"Comedies, International Movies, Romantic Movies",5,2021,8,97.0,,3,9,Unknown
Movie,2021,TV-MA,"Documentaries, LGBTQ Movies, Sports Movies",5,2021,8,78.0,,3,1,Unknown
TV Show,2016,TV-Y,Kids' TV,10,2021,8,,2.0,1,1,United States
Movie,2014,R,"Comedies, Independent Movies",12,2021,8,94.0,,2,14,United States
TV Show,2018,TV-14,"Anime Series, International TV Shows, Romantic TV Shows",8,2021,8,,1.0,3,7,Japan
TV Show,2020,TV-MA,"Docuseries, International TV Shows",6,2021,8,,1.0,2,1,India
Movie,1993,R,"Classic Movies, Dramas, Independent Movies",33,2021,8,121.0,,3,8,New Zealand
Movie,2020,TV-MA,"Dramas, International Movies",6,2021,8,97.0,,2,11,Unknown
TV Show,2015,TV-Y7,Kids' TV,11,2021,8,,2.0,1,12,Italy
Movie,2021,TV-MA,Action & Adventure,5,2021,8,110.0,,1,7,Italy
TV Show,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",5,2021,8,,1.0,3,7,United States
TV Show,2021,TV-Y7,Kids' TV,5,2021,8,,5.0,1,6,United States
TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",5,2021,8,,1.0,3,5,France
TV Show,2021,TV-MA,"TV Comedies, TV Dramas",5,2021,8,,7.0,2,8,United States
TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5,2021,8,,1.0,3,15,Argentina
TV Show,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",5,2021,8,,2.0,3,6,Spain
TV Show,2021,TV-14,"International TV Shows, TV Dramas, Teen TV Shows",5,2021,8,,1.0,3,8,Jordan
Movie,2021,TV-MA,Stand-Up Comedy,5,2021,8,64.0,,1,1,Colombia
Movie,2021,TV-PG,"Action & Adventure, Anime Features, Children & Family Movies",5,2021,8,59.0,,3,8,United States
TV Show,2021,TV-PG,Reality TV,5,2021,8,,1.0,1,1,United States
Movie,2016,TV-14,"Comedies, International Movies",10,2021,8,101.0,,2,10,Nigeria
Movie,2020,TV-MA,"Dramas, Independent Movies, International Movies",6,2021,8,127.0,,3,15,Mexico
Movie,2021,PG-13,"Documentaries, International Movies",5,2021,8,90.0,,2,1,Belgium
Movie,2021,TV-14,"Comedies, Romantic Movies",5,2021,8,114.0,,2,8,United Kingdom
